FileName|MD5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|LoaderFlags|NumberOfRvaAndSizes|LengthOfPeSections|MeanEntropy|MinEntropy|MaxEntropy|MeanRawSize|MinRawSize|MaxRawSize|MeanVirtualSize|MinVirtualSize|MaxVirtualSize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize
003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a.exe|c997318e5def9e2386a95f1763bf4cba|34404|240|39|2|27|12288|33792|3072|5328|4096|0|4194304|4096|512|4|0|0|0|5|2|65536|1024|102817|2|0|2097152|4096|0|16|11|2.4066078190409588|0.0|5.785474741916987|3118.5454545454545|0|12288|3049.090909090909|24|11896|12|139|0|0|0|0|0|0|0|0|0|0|0
0111bddac92a792c7b2ee3ab77642c33df0e01afe737b0d1fa0cbbf331d9572c.exe|3dfb61bea3c6e74c8c78867e95c4935e|332|224|783|2|25|48640|15872|12800|4096|4096|53248|4194304|4096|512|4|0|1|0|4|0|94208|1024|92283|3|0|2097152|4096|0|16|5|3.1571823307989035|0.0|6.27791144986894|12902.4|0|48640|15171.2|4|48512|2|67|0|0|0|0|0|0|0|0|0|0|0
016584e586de67b725ac1e3974fcca320bf81c8c489ebb17d9909735d517e7ae.exe|4a21fe1184e9ad4c118f445a962820f0|332|224|33166|2|25|45056|12288|0|4096|4096|49152|4194304|4096|512|1|0|0|0|4|0|90112|1024|113539|2|0|26000|8192|0|16|8|3.6660156270745294|0.0|6.550995742726711|8384.0|512|45056|10752.0|4096|45056|3|82|0|6|0|0|0|0|0|0|0|0|0
0222aaf048e5bc28f88d03862f133bc444d358f06201e00dcc93422c81e5bcca.exe|e5cc693b859c1e6dd48e93bf9411d940|34404|240|1059|12|0|173056|161792|0|29468|4096|0|5368709120|4096|512|6|0|0|0|6|0|352256|1024|398673|2|33056|1048576|4096|0|16|5|5.2954878928783256|3.2314735720873746|6.957584133976991|65126.4|7680|173056|66606.2|9864|172655|3|111|0|5|0|0|0|0|0|0|0|112|0
02253301617f5201605443ec0c4ab9e3bf8667caa3ea57a0be4d0641e2394ef6.exe|ab91c57e9c091c0933be687b197f23a7|34404|240|559|2|25|23552|15360|3072|5376|4096|0|4194304|4096|512|4|0|0|0|5|2|69632|1024|98804|3|0|2097152|4096|0|16|9|2.606044680782742|0.0|6.023787605336894|4323.555555555556|0|23552|4406.666666666667|104|23488|5|134|0|0|0|0|0|0|0|0|0|0|0
02431aa60089b968bc59acc69796ed9418546894752d0c9766fbe3aae0a85031.exe|be348a2dbf72c80e4d0c813922de8606|34404|240|34|10|10|10240|10240|0|12080|4096|0|5368709120|4096|512|6|2|6|2|6|0|36864|1024|93363|3|33120|524288|8192|0|16|6|2.9308407327348505|0.26232304171027127|6.1194405396347635|3157.3333333333335|512|10240|3166.6666666666665|88|9972|7|76|0|0|0|0|0|0|0|0|0|112|0
046041aba6ba77534c36bb0c2496408d23c6a09f930c46b392f1edc70dfd66de.exe|ddce338bb173b32024679d61fb4f2ba6|332|224|258|10|0|72704|457728|0|32238|4096|77824|16777216|4096|512|6|0|6|0|5|1|548864|1024|571489|2|33088|262144|8192|0|16|4|4.629107098537954|2.3297544577605818|6.46035888032041|132608.0|4096|446464|134485.5|6810|446380|6|135|1|0|0|0|0|0|0|0|0|72|0
04631dabeccc7d887cc5317c6de48266272f1c90920d644c08895bc956ba3b3b.exe|a0f8ecf686bd6e16edf978c10a39fc5e|332|224|291|11|0|90112|19968|512|46557|4096|102400|4194304|4096|512|6|0|10|0|6|0|131072|1024|190863|2|33024|1048576|8192|0|16|6|4.133314610219454|0.0|6.22209893446948|18176.0|0|89600|18123.333333333332|9|89092|10|238|6|0|0|0|0|0|0|0|0|72|0
04720bfdcf20864606b17eabea2b9ead471c1fbd71bf8ce8246edb7247b5d148.exe|c4e32faa30ab2bea27a7484989f02bbc|332|224|258|12|10|70144|14336|0|71472|4096|77824|4194304|4096|512|10|0|10|0|6|0|94208|1024|105383|2|49472|262144|8192|0|16|5|4.8464165477381185|2.176041516533452|6.50435547845827|16486.4|512|70144|16602.8|2328|69836|8|128|0|0|0|0|0|0|0|0|0|104|0
050171bc07ebcd963ce724b6b66ff8d1b6c1258e2676c59fd36db0384427bb59.exe|c24ece07adfe016c1e9385b4c7a0073c|34404|240|39|2|27|50176|123392|5632|5328|4096|0|4194304|4096|512|4|0|0|0|5|2|163840|1024|191749|2|0|2097152|4096|0|16|11|2.615756745098175|0.0|6.013870907956897|11264.0|0|50688|11479.636363636364|24|50544|15|261|0|0|0|0|0|0|0|0|0|0|0
